"Questionnaire","Section","Item #","Question","Current Answer","Current Status","Remediate Flag","Coverage","Proposed Answer","Flag Risk","Gap Description","Required Fix - File","Required Fix - Text","Required Fix - Words"
"SIG Lite 2025","P. Privacy Management","P.11","Is there a data privacy or data protection role accountable for compliance, enforcement, and monitoring of its privacy obligations for client scoped data?","","","","Full","Yes. The Chief Privacy Officer is the accountable role for privacy compliance, enforcement, and monitoring of client-scoped data, per the HIPAA policy suite (Accounting of Disclosures, Breach Notification, BAA, Individual Access, Use & Disclosure).","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","P. Privacy Management","P.12","If necessary, does the organization have a process to ensure that its registration information is accurate and complete with the appropriate competent authority no later than every 3 months?","","","","N/A","N/A. This 3-month registration-accuracy framing aligns with EU competent-authority registration requirements; Millie is a US-only clinic and the question does not apply.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","R. Artificial Intelligence","R.1","Does the organization have a process to inform personnel of legal and regulatory considerations and requirements specific to its industry, sector, and business purpose, and the application context of the deployed AI system(s)?","","","","N/A","N/A as a standalone AI policy. Millie's AI vendors (OpenAI, Anthropic, Google Vertex, Heidi, Agno) are covered by BAAs where they touch PHI; legal and regulatory considerations are addressed through the BAA review process and Privacy/HIPAA suite at Millie's size.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","R. Artificial Intelligence","R.2","Do organizational policies, processes, and procedures include the characteristics of trustworthy AI?","","","","N/A","N/A as a standalone trustworthy-AI policy. AI use is governed by the BAA review process, the Minimum Necessary Rule Policy, and the Use & Disclosure Policy; a separate AI characteristics policy is not warranted at Millie's headcount.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","R. Artificial Intelligence","R.4","Does the organization monitor and perform a periodic review of the AI risk management process and its outcomes that are planned to include organizational roles & responsibilities?","","","","N/A","N/A as a standalone AI risk-management cycle. AI vendor risk is reviewed within Information Security Framework §11 third-party risk reviews and the annual HIPAA risk assessment.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","R. Artificial Intelligence","R.5","Does the organization establish policies that define the creation and maintenance of AI system inventories?","","","","N/A","N/A as a standalone AI-system inventory policy. AI tools are tracked in the Platforms & Access Matrix alongside other SaaS subscriptions.","None","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","S. Supply Chain Risk Management (SCRM)","S.1","Does your organization have access control policies for suppliers, developers, and service providers that are passed down to sub-tier contractors?","","","","Full","Yes. Information Security Framework §11 Third-Party & Vendor Management requires supplier access controls and explicit BAA flow-down to subcontractors and subprocessors handling PHI.","Low","—","N/A","N/A — no fix needed.","0"
"SIG Lite 2025","S. Supply Chain Risk Management (SCRM)","S.32","Is there a documented, approved Cybersecurity Supply Chain Risk Management (C-SCRM) policy or equivalent that addresses the strategy, objectives, and related processes for supplier adoption and contingency planning?","","","","Partial","Yes. Per Information Security Framework §11 (with the C-SCRM addition), Millie's third-party risk management process functions as the Company's C-SCRM program with the Chief Security Officer as named owner and supplier adoption / contingency planning covered.","High","Framework §11 currently covers vendor risk but is not framed as a Cybersecurity Supply Chain Risk Management (C-SCRM) policy; an assessor running a SIG checklist will not match the row without the explicit C-SCRM framing.","Millie Information Security & Data Governance Framework (1).md","Company's third-party risk management process functions as the Company's Cybersecurity Supply Chain Risk Management (C-SCRM) program, with the Chief Security Officer (in coordination with the Chief Privacy Officer and Legal) as the named owner; C-SCRM objectives are reviewed annually alongside the security risk assessment, supplier cybersecurity controls (encryption in transit, access management, incident notification, and system and communications protection) are required of subcontractors and subprocessors via BAA flow-down, and vendor-furnished or vendor-returned physical media is addressed during vendor onboarding and BAA review with Company's cloud-first posture limiting supply-chain media exposure to vendor-owned infrastructure.","93"
"SIG Lite 2025","S. Supply Chain Risk Management (SCRM)","S.57","Do the organization's media protection policies and procedures cover supply chain concerns, such as media within the supply chain and throughout the software development life cycle (SDLC)?","","","","Partial","Yes. Per the Framework §11 C-SCRM addition, vendor-furnished or vendor-returned physical media is addressed during vendor onboarding and BAA review; Millie's cloud-first posture limits supply-chain media exposure to vendor-owned infrastructure.","High","SDLC Policy §III(e) covers media sanitization but does not address media handled within the supply chain; closed by the same Framework §11 C-SCRM addition.","Millie Information Security & Data Governance Framework (1).md","Company's third-party risk management process functions as the Company's Cybersecurity Supply Chain Risk Management (C-SCRM) program, with the Chief Security Officer (in coordination with the Chief Privacy Officer and Legal) as the named owner; C-SCRM objectives are reviewed annually alongside the security risk assessment, supplier cybersecurity controls (encryption in transit, access management, incident notification, and system and communications protection) are required of subcontractors and subprocessors via BAA flow-down, and vendor-furnished or vendor-returned physical media is addressed during vendor onboarding and BAA review with Company's cloud-first posture limiting supply-chain media exposure to vendor-owned infrastructure.","93"
"SIG Lite 2025","S. Supply Chain Risk Management (SCRM)","S.61","Does the organization integrate C-SCRM when developing a security planning policy?","","","","Partial","Yes. Per the Framework §11 C-SCRM addition, C-SCRM objectives are reviewed annually alongside the security risk assessment, integrating supply-chain risk into Millie's security-planning cycle.","High","No policy currently ties C-SCRM into the security-planning process explicitly; closed by the same Framework §11 C-SCRM addition.","Millie Information Security & Data Governance Framework (1).md","Company's third-party risk management process functions as the Company's Cybersecurity Supply Chain Risk Management (C-SCRM) program, with the Chief Security Officer (in coordination with the Chief Privacy Officer and Legal) as the named owner; C-SCRM objectives are reviewed annually alongside the security risk assessment, supplier cybersecurity controls (encryption in transit, access management, incident notification, and system and communications protection) are required of subcontractors and subprocessors via BAA flow-down, and vendor-furnished or vendor-returned physical media is addressed during vendor onboarding and BAA review with Company's cloud-first posture limiting supply-chain media exposure to vendor-owned infrastructure.","93"
"SIG Lite 2025","S. Supply Chain Risk Management (SCRM)","S.80","Do the security policies and plans clearly define personnel responsibilities for supply chain security risk management activities?","","","","Partial","Yes. Per the Framework §11 C-SCRM addition, the Chief Security Officer (in coordination with the Chief Privacy Officer and Legal) is the named owner of supply-chain security risk management activities.","High","No clause currently names the C-SCRM owner explicitly; closed by the same Framework §11 C-SCRM addition.","Millie Information Security & Data Governance Framework (1).md","Company's third-party risk management process functions as the Company's Cybersecurity Supply Chain Risk Management (C-SCRM) program, with the Chief Security Officer (in coordination with the Chief Privacy Officer and Legal) as the named owner; C-SCRM objectives are reviewed annually alongside the security risk assessment, supplier cybersecurity controls (encryption in transit, access management, incident notification, and system and communications protection) are required of subcontractors and subprocessors via BAA flow-down, and vendor-furnished or vendor-returned physical media is addressed during vendor onboarding and BAA review with Company's cloud-first posture limiting supply-chain media exposure to vendor-owned infrastructure.","93"
"SIG Lite 2025","S. Supply Chain Risk Management (SCRM)","S.100","Do the organization's system and communications protection policies and procedures address cybersecurity risks throughout the supply chain regarding the enterprise's processes, systems, and networks?","","","","Partial","Yes. Per the Framework §11 C-SCRM addition, supplier cybersecurity controls — encryption in transit, access management, incident notification, and system and communications protection — are required of subcontractors and subprocessors via BAA flow-down.","High","Encryption Policy and AWS/Aptible IR address system/comm protection internally but not 'throughout the supply chain'; closed by the same Framework §11 C-SCRM addition.","Millie Information Security & Data Governance Framework (1).md","Company's third-party risk management process functions as the Company's Cybersecurity Supply Chain Risk Management (C-SCRM) program, with the Chief Security Officer (in coordination with the Chief Privacy Officer and Legal) as the named owner; C-SCRM objectives are reviewed annually alongside the security risk assessment, supplier cybersecurity controls (encryption in transit, access management, incident notification, and system and communications protection) are required of subcontractors and subprocessors via BAA flow-down, and vendor-furnished or vendor-returned physical media is addressed during vendor onboarding and BAA review with Company's cloud-first posture limiting supply-chain media exposure to vendor-owned infrastructure.","93"
"Insurances","Insurances","1","Do you have document ""Cyber Liability / Data Privacy""?","","","","Evidence-only","Per the HIPAA Contingency Planning Policy §III(g), the Chief Security Officer and General Counsel maintain cyber liability / data privacy insurance; the current cyber-liability certificate will be attached to the submission package.","High","Contingency Planning Policy commits to obtaining the coverage but the actual certificate is the deliverable; submission must include the certificate as an attachment.","N/A — submission package","Attach the actual document to the ECH submission package; no policy edit.","0"
"Security Audits","Security Audits","1","Do you have document ""Penetration Testing""?","","","","Evidence-only","No third-party penetration testing report is currently on file; Millie's Chief Security Officer plans to commission a third-party penetration test and will share the report when available.","High","No pentest evidence exists; either commission a third-party pentest (recommended) or answer truthfully that none is on file. Submission impact depends on ECH appetite.","N/A — submission package","Attach the actual document to the ECH submission package; no policy edit.","0"
"Security Audits","Security Audits","2","Do you have document ""General Security Audit""?","","","","Evidence-only","No third-party general security audit (SOC 2 / HITRUST / equivalent) is currently on file; internal risk assessments per the HIPAA Risk Management Policy are conducted annually with results provided to the Risk Review Committee and, for material risks, the Board.","High","No external audit attestation; provide the annual internal HIPAA risk assessment as a compensating artifact and disclose plans for a third-party audit if planned.","N/A — submission package","Attach the actual document to the ECH submission package; no policy edit.","0"
